*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Tool Lockout v1.3
*Date=19:27:48
*CreatedBy=Fritzing 0.8.3b.07.27.048f
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
132;;;32.9266;-14.7113;0;Bottom;TXT7
133;;300 mil [THT];46.8799;-7.04294;180;Bottom;D1
134;;;56.0578;-34.7168;0;Bottom;Copper Fill4
135;;;36.6945;-21.6479;0;Bottom;Via18
136;3.3V;TO220 [THT];25.2645;-1.70894;180;Bottom;+3.3Vreg
137;;;15.0749;-33.5484;0;Bottom;Copper Fill77
138;;;1.68446;-20.2127;-90;Bottom;TXT13
139;;;61.4596;-36.8879;0;Bottom;Via8
140;;;11.7856;-3.932;0;Bottom;Copper Fill12
141;;;36.6649;-20.6706;0;Bottom;Copper Fill83
142;;THT;30.9795;-8.31294;90;Bottom;Vio
143;;;23.9649;-37.1552;0;Bottom;Copper Fill18
144;;;6.1849;-37.1044;0;Bottom;Copper Fill45
145;;;44.8945;-4.4146;0;Bottom;Copper Fill116
146;;;37.6936;-21.6739;0;Bottom;Copper Fill23
147;;;43.191;-19.9542;0;Bottom;TXT14
148;;;13.8049;-5.6084;0;Bottom;Copper Fill89
149;;THT;51.9345;-14.6629;-90;Bottom;AREF A0 A1 A2 A3 A4 A5
150;;;42.9641;-10.663;0;Bottom;Copper Fill51
151;;;63.4238;-36.9139;0;Bottom;Copper Fill122
152;;;30.9245;-9.4438;0;Bottom;Copper Fill29
153;;;8.7757;-19.045;0;Bottom;Copper Fill95
154;;;48.4533;-36.1336;0;Bottom;TXT1
155;;;36.9824;-5.8243;0;Bottom;Copper Fill57
156;;;44.2341;-18.918;0;Bottom;Copper Fill35
157;;;64.0334;-13.4443;0;Bottom;Copper Fill101
158;;;30.7086;-38.095;0;Bottom;Copper Fill63
159;;;41.6941;-24.4806;0;Bottom;Copper Fill107
160;;;34.163;-21.6866;0;Bottom;Copper Fill72
161;;;22.7245;-29.9029;0;Bottom;Via6
162;;THT;59.3005;-5.89994;0;Bottom;MoSFET Output (D4)
163;;;18.3298;-12.1241;0;Bottom;TXT1
164;;TO220 [THT];47.4895;-1.70894;180;Bottom;N-Chnl FET (D4)
165;;;63.8592;-2.90737;90;Bottom;TXT1
166;;;53.2045;-23.5529;0;Bottom;Via12
167;;;12.8814;-28.034;-90;Bottom;Ethernet
168;;THT;46.2195;-38.1579;-90;Bottom;E-Stop
169;;;30.7848;-20.0102;0;Bottom;Copper Fill11
170;;;22.9108;-38.1839;0;Bottom;Copper Fill82
171;;THT;63.3645;-19.7429;180;Bottom;FTDI
172;;;36.3457;-8.30599;0;Bottom;TXT1
173;;;23.9649;-38.9078;0;Bottom;Copper Fill17
174;;;6.1849;-38.9332;0;Bottom;Copper Fill44
175;;;36.9824;-5.8243;0;Bottom;Copper Fill115
176;;;52.5028;-31.4381;90;Bottom;TXT1
177;;;0.9652;-3.2843;0;Bottom;Copper Fill88
178;;;56.4769;-39.5428;0;Bottom;Copper Fill50
179;;;61.4045;-38.9332;0;Bottom;Copper Fill121
180;;;13.8049;-5.6084;0;Bottom;Copper Fill28
181;;;24.2824;-5.8243;0;Bottom;Copper Fill94
182;10k;THT;62.412;-31.1729;180;Bottom;R3
183;;;24.7442;-10.7354;0;Bottom;TXT4
184;;;36.0045;-6.8022;0;Bottom;Copper Fill56
185;;;8.7757;-16.8352;0;Bottom;Copper Fill34
186;;;63.2841;-12.3648;0;Bottom;Copper Fill100
187;;;21.463;-38.095;0;Bottom;Copper Fill62
188;;;6.1849;-18.9942;0;Bottom;Copper Fill106
